MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20230425,AZ,82.05,17.95,1.46,0.00,0.00,0.00,2023-04-25,2023-05-01,1
20230418,AZ,82.05,17.95,1.46,0.00,0.00,0.00,2023-04-18,2023-04-24,1
20230411,AZ,82.05,17.95,1.86,0.00,0.00,0.00,2023-04-11,2023-04-17,1
20230404,AZ,81.37,18.63,7.50,0.00,0.00,0.00,2023-04-04,2023-04-10,1
20230328,AZ,80.38,19.62,7.52,0.03,0.00,0.00,2023-03-28,2023-04-03,1
20230321,AZ,75.49,24.51,8.33,0.03,0.00,0.00,2023-03-21,2023-03-27,1
20230314,AZ,70.99,29.01,9.11,0.03,0.00,0.00,2023-03-14,2023-03-20,1
20230307,AZ,67.64,32.36,13.09,0.36,0.00,0.00,2023-03-07,2023-03-13,1
20230228,AZ,67.64,32.36,13.09,1.19,0.00,0.00,2023-02-28,2023-03-06,1
20230221,AZ,62.65,37.35,20.59,1.19,0.00,0.00,2023-02-21,2023-02-27,1
20230214,AZ,62.39,37.61,20.59,1.19,0.00,0.00,2023-02-14,2023-02-20,1
20230207,AZ,42.37,57.63,21.33,1.19,0.00,0.00,2023-02-07,2023-02-13,1
20230131,AZ,42.37,57.63,21.33,1.15,0.00,0.00,2023-01-31,2023-02-06,1
20230124,AZ,42.37,57.63,21.33,1.15,0.00,0.00,2023-01-24,2023-01-30,1
20230117,AZ,42.20,57.80,21.33,1.15,0.00,0.00,2023-01-17,2023-01-23,1
20230110,AZ,27.66,72.34,31.69,1.16,0.00,0.00,2023-01-10,2023-01-16,1
20230103,AZ,12.40,87.60,38.94,7.85,0.00,0.00,2023-01-03,2023-01-09,1
20221227,AZ,12.40,87.60,38.96,7.85,0.00,0.00,2022-12-27,2023-01-02,1
20221220,AZ,12.40,87.60,38.96,7.85,0.00,0.00,2022-12-20,2022-12-26,1
20221213,AZ,12.42,87.58,38.96,7.85,0.00,0.00,2022-12-13,2022-12-19,1
20221206,AZ,9.56,90.44,43.45,10.56,0.00,0.00,2022-12-06,2022-12-12,1
20221129,AZ,0.00,100.00,46.85,10.56,0.00,0.00,2022-11-29,2022-12-05,1
20221122,AZ,0.00,100.00,46.83,12.78,0.00,0.00,2022-11-22,2022-11-28,1
20221115,AZ,0.00,100.00,46.83,12.78,0.00,0.00,2022-11-15,2022-11-21,1
20221108,AZ,0.00,100.00,46.83,12.78,0.00,0.00,2022-11-08,2022-11-14,1
20221101,AZ,0.00,100.00,46.83,12.78,0.00,0.00,2022-11-01,2022-11-07,1
20221025,AZ,0.00,100.00,46.83,12.78,0.00,0.00,2022-10-25,2022-10-31,1
20221018,AZ,0.00,100.00,46.83,12.78,0.00,0.00,2022-10-18,2022-10-24,1
20221011,AZ,0.00,100.00,56.70,18.40,0.00,0.00,2022-10-11,2022-10-17,1
20221004,AZ,0.00,100.00,56.70,18.33,0.00,0.00,2022-10-04,2022-10-10,1
20220927,AZ,0.00,100.00,56.72,18.47,0.00,0.00,2022-09-27,2022-10-03,1
20220920,AZ,0.00,100.00,63.81,23.00,0.00,0.00,2022-09-20,2022-09-26,1
20220913,AZ,0.00,100.00,66.12,23.00,0.00,0.00,2022-09-13,2022-09-19,1
20220906,AZ,0.00,100.00,66.88,23.48,0.51,0.00,2022-09-06,2022-09-12,1
20220830,AZ,0.00,100.00,66.88,23.48,2.89,0.00,2022-08-30,2022-09-05,1
20220823,AZ,0.00,100.00,73.22,28.67,2.89,0.00,2022-08-23,2022-08-29,1
20220816,AZ,0.00,100.00,84.98,33.58,3.31,0.00,2022-08-16,2022-08-22,1
20220809,AZ,0.00,100.00,89.68,55.32,11.35,0.39,2022-08-09,2022-08-15,1
20220802,AZ,0.00,100.00,90.06,59.65,14.41,1.32,2022-08-02,2022-08-08,1
20220726,AZ,0.00,100.00,93.05,60.37,16.64,2.08,2022-07-26,2022-08-01,1
20220719,AZ,0.00,100.00,98.48,67.85,25.90,3.01,2022-07-19,2022-07-25,1
20220712,AZ,0.00,100.00,98.48,67.83,25.90,3.01,2022-07-12,2022-07-18,1
20220705,AZ,0.00,100.00,98.48,69.79,25.90,3.01,2022-07-05,2022-07-11,1
20220628,AZ,0.00,100.00,98.48,71.71,26.21,3.01,2022-06-28,2022-07-04,1
20220621,AZ,0.00,100.00,98.48,77.90,26.77,3.01,2022-06-21,2022-06-27,1
20220614,AZ,0.00,100.00,98.48,77.90,26.77,3.01,2022-06-14,2022-06-20,1
20220607,AZ,0.00,100.00,98.48,77.90,26.77,3.01,2022-06-07,2022-06-13,1
20220531,AZ,0.00,100.00,98.48,77.88,26.77,3.01,2022-05-31,2022-06-06,1
20220524,AZ,0.00,100.00,98.48,77.88,26.77,3.01,2022-05-24,2022-05-30,1
20220517,AZ,0.00,100.00,98.48,67.47,21.33,3.01,2022-05-17,2022-05-23,1
